date,close,open,high,low,var
2010-07-21,1186,1190.9,1198.05,1182.85,-0.01
2010-07-22,1194.95,1184.4,1200.6,1180.55,0.01
2010-07-23,1189.1,1194.55,1203.95,1183.31,0
2010-07-26,1182.5,1188.75,1195.3,1179.15,-0.01
2010-07-27,1162.3,1181.4,1187.75,1157.65,-0.02
2010-07-28,1163.55,1162,1166.35,1156.9,0
2010-07-29,1166.93,1163,1169.8,1159.15,0
2010-07-30,1180.9,1166.85,1183.95,1165.5,0.01
2010-08-02,1181.85,1180.45,1191.4,1174.5,0
2010-08-03,1185.7,1180.65,1191.35,1178.75,0
2010-08-04,1195.75,1185.2,1203.35,1183.9,0.01
2010-08-05,1195.1,1194.35,1200.55,1189.65,0
2010-08-06,1205.3,1193.7,1213.61,1192.1,0.01
2010-08-09,1201.4,1203.85,1210.55,1198.9,0
2010-08-10,1203.85,1200.1,1208.05,1190.5,0
2010-08-11,1197.75,1202.25,1209.75,1192.15,-0.01
2010-08-12,1213.2,1196.4,1217.25,1195.85,0.01
2010-08-13,1215.55,1212.05,1219.35,1210.55,0
2010-08-16,1224.85,1212.55,1229.15,1212.55,0.01
2010-08-17,1224.9,1222.9,1230.45,1222.1,0
2010-08-18,1229.55,1224.3,1233.35,1217.4,0
2010-08-19,1232.1,1228.6,1239.15,1227.3,0
2010-08-20,1228.05,1230.35,1233.05,1221.9,0
2010-08-23,1225.4,1227.1,1233.85,1221.65,0
2010-08-24,1229.75,1225.2,1236,1210.1,0
2010-08-25,1240.1,1228.65,1242.35,1228.65,0.01
2010-08-26,1236.05,1238.55,1246,1233.85,0
2010-08-27,1238.2,1234.94,1244.25,1231.75,0
2010-08-30,1236.8,1236.5,1238.8,1233.3,0
2010-08-31,1247.65,1234.95,1251.9,1231.75,0.01
2010-09-01,1244.35,1247.5,1255.15,1242.25,0
2010-09-02,1251.25,1243.8,1253.8,1243,0.01
2010-09-03,1247.1,1251.1,1255.1,1235.7,0
2010-09-06,1250.05,1248.1,1251.45,1246.55,0
2010-09-07,1255.4,1248.05,1260.3,1244,0
2010-09-08,1255.2,1254.05,1262.75,1253,0
2010-09-09,1244.1,1252.95,1259.3,1242.2,-0.01
2010-09-10,1246.45,1243.8,1251.65,1236.55,0
2010-09-13,1245.45,1245.4,1249.7,1240.95,0
2010-09-14,1268.85,1244.5,1275.25,1244,0.02
2010-09-15,1268.05,1267.6,1272.35,1262.95,0
2010-09-16,1275.55,1267.1,1278.7,1264.65,0.01
2010-09-17,1274.9,1274.5,1284.25,1271.6,0
2010-09-20,1278.35,1275.9,1285.2,1274,0
2010-09-21,1286.95,1277.15,1292.7,1269.85,0.01
2010-09-22,1291.35,1286.1,1296.6,1285.3,0
2010-09-23,1292.55,1290.9,1297.35,1286.75,0
2010-09-24,1296.95,1291.9,1300.95,1291.3,0
2010-09-27,1295,1297.5,1301,1292.5,0
2010-09-28,1309.1,1294.3,1311.1,1282.6,0.01
2010-09-29,1309.9,1308,1314.2,1305.15,0
2010-09-30,1309.5,1309.35,1316.8,1295.9,0
2010-10-01,1318.8,1309.05,1322.3,1305.6,0.01
2010-10-04,1315.25,1317.4,1321,1312.25,0
2010-10-05,1340.75,1313.5,1342.2,1311.75,0.02
2010-10-06,1349.4,1340,1350.8,1338.65,0.01
2010-10-07,1333.7,1348.65,1365.6,1325.55,-0.01
2010-10-08,1346.8,1332.4,1350.2,1324.85,0.01
2010-10-11,1353.95,1345.4,1356.15,1339.85,0.01
2010-10-12,1350.6,1353.5,1356.3,1340.45,0
2010-10-13,1372.1,1349.65,1375.15,1348.4,0.02
2010-10-14,1381.3,1371.7,1388.1,1370.25,0.01
2010-10-15,1369.15,1379.85,1386.25,1362.2,-0.01
2010-10-18,1369.8,1370.5,1375.3,1352.55,0
2010-10-19,1335.45,1368.4,1372.05,1328.3,-0.03
2010-10-20,1346.35,1333.8,1348.2,1329.8,0.01
2010-10-21,1325.5,1345.1,1350.05,1317.74,-0.02
2010-10-22,1328.2,1325.05,1329.35,1315.09,0
2010-10-25,1340.45,1330.89,1350.2,1330.8,0.01
2010-10-26,1339.9,1338.95,1343.9,1327.91,0
2010-10-27,1325.3,1339.15,1344,1318.74,-0.01
2010-10-28,1344.35,1324.59,1346.5,1322.55,0.01
2010-10-29,1359.55,1343.59,1359.95,1335.06,0.01
2010-11-01,1351.75,1360.19,1366.49,1348.8,-0.01
2010-11-02,1357.5,1350.75,1359.95,1350.2,0
2010-11-03,1348.65,1356.96,1365.25,1323.64,-0.01
2010-11-04,1392.75,1347.59,1393.66,1346.25,0.03
2010-11-05,1393.9,1392.19,1398.35,1373.65,0
2010-11-08,1409.45,1394.5,1410.7,1386.74,0.01
